,MCS UL,WB CQI_bins
377,11.615384615384617,12
378,8.7,11
379,5.25,11
380,10.666666666666666,9
381,8.631578947368421,10
382,9.4,9
383,6.064516129032258,10
384,8.925925925925926,8
385,5.04,7
386,4.176470588235294,5
387,7.5625,6
388,7.666666666666667,7
389,7.65,8
390,7.6875,9
391,11.533333333333331,12
392,0.0,9
393,4.75,9
394,14.818181818181818,8
395,14.625,10
396,14.333333333333334,9
397,8.142857142857142,10
398,11.6,9
399,13.25,12
400,13.2,12
401,10.2,7
402,11.526315789473683,11
403,5.8,9
404,16.928571428571427,11
405,13.941176470588236,10
406,12.0,9
407,15.5,8
408,9.571428571428571,8
409,12.461538461538462,9
410,13.833333333333334,8
411,10.625,9
412,3.25,11
413,18.5,10
414,8.0,11
415,10.923076923076923,12
416,8.705882352941176,11
417,8.384615384615385,11
418,6.590909090909091,9
419,2.857142857142857,10
420,2.0,9
421,7.4,8
422,10.5,8
423,6.444444444444445,8
424,1.3333333333333333,9
425,2.571428571428572,9
426,11.0,9
427,10.578947368421051,8
428,7.2,9
429,3.571428571428572,8
430,9.0,11
431,8.333333333333334,12
432,5.75,12
433,19.38888888888889,12
434,9.294117647058824,9
435,2.142857142857143,9
436,3.7222222222222223,9
437,7.230769230769231,10
438,7.888888888888889,7
439,11.521739130434783,12
440,10.0,12
441,14.928571428571429,12
442,14.5,9
443,3.2,8
444,10.333333333333334,10
445,5.5,8
446,13.466666666666669,11
447,11.952380952380953,11
448,11.047619047619047,9
449,11.0,11
450,18.444444444444443,9
451,12.80952380952381,9
452,11.833333333333334,10
453,14.2,12
454,4.0,11
455,10.666666666666666,12
456,15.333333333333334,9
457,2.5,9
458,13.0,10
459,22.0,12
460,12.0,11
461,12.866666666666667,11
462,16.333333333333332,8
463,3.4375,8
464,14.666666666666666,12
465,15.666666666666666,12
466,18.25,12
467,18.75,12
468,18.25,12
469,15.0,12
470,17.0,12
471,14.666666666666666,12
472,23.0,12
473,16.0,12
474,11.5,12
475,11.5,12
476,27.0,12
477,23.0,12
478,17.75,12
479,16.666666666666668,12
480,11.5,12
481,16.0,12
482,17.0,12
483,17.5,12
484,25.0,12
485,11.5,12
486,25.0,12
487,11.0,12
488,25.33333333333333,12
489,12.0,12
490,16.0,12
491,19.285714285714285,12
492,18.142857142857142,12
493,18.75,12
494,24.0,12
495,16.666666666666668,12
496,18.5,12
497,11.5,12
498,18.25,12
499,25.5,12
500,21.83333333333333,12
501,27.0,12
502,11.285714285714286,12
503,26.0,12
504,0.0,12
505,15.25,12
506,18.84210526315789,12
507,,12
508,0.0,12
509,22.75,12
510,18.0,12
511,24.0,12
512,0.0,12
513,17.666666666666668,12
514,,12
515,0.0,12
516,25.0,12
517,11.5,12
518,18.25,12
519,12.0,12
520,20.875,12
521,20.0,12
522,25.5,12
523,15.6,12
524,20.5,12
525,25.5,12
526,17.5,12
527,16.5,12
528,16.666666666666668,12
529,21.75,12
530,24.5,12
531,12.25,12
532,12.0,12
533,12.0,12
534,24.0,12
535,24.33333333333333,12
536,21.33333333333333,12
537,21.857142857142858,12
538,20.4,12
539,12.25,12
540,16.0,12
541,22.5,12
542,22.33333333333333,12
543,27.0,12
544,24.33333333333333,12
545,25.2,12
546,16.5,12
547,20.33333333333333,12
548,9.5,12
549,14.5,12
550,21.0,12
551,16.75,12
552,9.5,12
553,19.0,12
554,20.0,12
555,10.0,12
556,10.0,12
557,20.125,12
558,20.0,12
559,22.5,12
560,20.0,12
561,14.5,12
562,10.5,12
563,10.0,12
564,10.5,12
565,14.0,12
566,14.666666666666666,12
567,21.0,12
568,19.166666666666668,12
569,16.25,12
570,22.0,12
571,22.0,12
572,11.0,12
573,22.0,12
574,22.0,12
575,23.666666666666668,12
576,16.75,12
577,14.916666666666666,12
578,12.875,12
579,0.0,12
580,22.0,12
581,22.5,12
582,17.2,12
583,11.833333333333334,12
584,12.0,12
585,13.166666666666666,12
586,12.25,12
587,16.142857142857142,12
